Name,INR,USD,Link
Speaker,159,1.848837209,https://robocraze.com/products/0-5w-speaker
PCB,0,0,Vero Board Based
Pam 8403,62,0.7209302326,https://robocraze.com/products/pam-8403-amplifier-module?_pos=5&_sid=a9763169e&_ss=r
Battery,269,3.127906977,https://robocraze.com/products/3-7v-1500mah-lipo-rechargeable-battery-model-uk-523450p?_pos=6&_sid=a9763169e&_ss=r
Mini DF MP3 Player,83,0.9651162791,https://robocraze.com/products/dfplayer-mini-mp3-module?_pos=8&_sid=a9763169e&_ss=r
ESP32,359,4.174418605,https://robocraze.com/products/esp32-development-board?_pos=1&_psq=esp32&_ss=e&_v=1.0
Display,1299,15.10465116,https://thinkrobotics.com/products/inches-spi-tft-display-module-1?variant=16353637564488
SD Card Module,39,0.4534883721,https://robocraze.com/products/sd-card-module?_pos=1&_psq=sd+card&_ss=e&_v=1.0
TP4056,15,0.1744186047,https://robocraze.com/products/tp4056-lithium-battery-charging-board?_pos=11&_sid=fee95a296&_ss=r
Push Buttons,50,0.5813953488,Already Have
Switch,20,0.2325581395,Already Have
LED,50,0.5813953488,Already Have
Buck Converter,35,0.4069767442,https://robocraze.com/products/mt3608-dc-dc-boost-module-2v-24v?_pos=7&_sid=7933f63bd&_ss=r
Capacitor,99,1.151162791,https://robocraze.com/products/4700uf-25v-electrolytic-capacitor?_pos=3&_sid=7933f63bd&_ss=r
Vero Board,48,0.5581395349,https://robocraze.com/products/vero-board-3-x4
Wire,96,1.11627907,https://robocraze.com/products/ribbon-cable-10-wire-1-meter?_pos=2&_sid=9b0283ae3&_ss=r
Berg Strip,50,0.5813953488,robocraze
Heatsink,36,0.4186046512,https://robocraze.com/products/aluminium-heatsink-50mmx45mmx18mm-silver-tone?_pos=2&_sid=da2b33be0&_ss=r
Led Ring,168,1.953488372,https://robocraze.com/products/ws2812-16-bit-rgb-led-round?_pos=4&_sid=de4f34d6c&_ss=r
Case,0,0,I can make on my own
Misc,200,2.325581395,
Total,3137,36.47674419,
,,0,
,,0,
,,0,
